KEY_X,KEY_CAPS_LOCK,KEY_Z,MODIFIERKEY_LEFT_ALT,MODIFIERKEY_LEFT_SHIFT,MODIFIERKEY_FN,MODIFIERKEY_LEFT_CTRL,KEY_TAB
KEY_M,KEY_SPACE,MODIFIERKEY_RIGHT_ALT,MODIFIERKEY_RIGHT_CTRL,KEY_LEFT,0,KEY_DOWN,KEY_RIGHT
KEY_T,KEY_Y,KEY_5,KEY_4,KEY_3,KEY_F2,KEY_F1,KEY_ESC
KEY_J,KEY_U,KEY_8,KEY_7,KEY_6,KEY_F5,KEY_F4,KEY_F3
KEY_H,KEY_G,KEY_F,KEY_R,KEY_E,KEY_W,KEY_2,KEY_1
KEY_N,KEY_B,KEY_V,KEY_C,KEY_D,KEY_S,KEY_A,KEY_Q
KEY_COMMA,KEY_PERIOD,KEY_SLASH,MODIFIERKEY_RIGHT_SHIFT,KEY_UP,0,0,0
KEY_K,KEY_I,KEY_O,KEY_9,KEY_0,KEY_F6,KEY_F7,KEY_F8
KEY_L,KEY_LEFT_BRACE,KEY_P,KEY_EQUAL,KEY_MINUS,KEY_F11,KEY_F10,KEY_F9
KEY_SEMICOLON,KEY_QUOTE,KEY_RIGHT_BRACE,KEY_ENTER,KEY_BACKSPACE,KEY_F12,KEY_INSERT,KEY_DELETE
0,KEY_END,KEY_TILDE,0,KEY_BACKSLASH,KEY_PAGE_DOWN,KEY_PAGE_UP,KEY_HOME
